TOTAL CHUNKS: 236

000 | type=table | page=48 | chars=525 | file=table_000_page_48.csv
001 | type=table | page=48 | chars=504 | file=table_001_page_48.csv
002 | type=table | page=52 | chars=568 | file=table_002_page_52.csv
003 | type=table | page=52 | chars=496 | file=table_003_page_52.csv
004 | type=table | page=52 | chars=306 | file=table_004_page_52.csv
005 | type=table | page=55 | chars=653 | file=table_005_page_55.csv
006 | type=table | page=55 | chars=587 | file=table_006_page_55.csv
007 | type=table | page=55 | chars=495 | file=table_007_page_55.csv
008 | type=table | page=68 | chars=873 | file=table_008_page_68.csv
009 | type=table | page=68 | chars=781 | file=table_009_page_68.csv
010 | type=table | page=69 | chars=818 | file=table_010_page_69.csv
011 | type=table | page=69 | chars=596 | file=table_011_page_69.csv
012 | type=table | page=84 | chars=862 | file=table_012_page_84.csv
013 | type=table | page=84 | chars=537 | file=table_013_page_84.csv
014 | type=table | page=108 | chars=539 | file=table_014_page_108.csv
015 | type=text  | page=2 | chars=1800 | file=text_015_page_2.txt
016 | type=text  | page=2 | chars=1800 | file=text_016_page_2.txt
017 | type=text  | page=2 | chars=1300 | file=text_017_page_2.txt
018 | type=text  | page=3 | chars=1800 | file=text_018_page_3.txt
019 | type=text  | page=3 | chars=1800 | file=text_019_page_3.txt
020 | type=text  | page=3 | chars=1112 | file=text_020_page_3.txt
021 | type=text  | page=4 | chars=1800 | file=text_021_page_4.txt
022 | type=text  | page=4 | chars=1800 | file=text_022_page_4.txt
023 | type=text  | page=4 | chars=711 | file=text_023_page_4.txt
024 | type=text  | page=5 | chars=1800 | file=text_024_page_5.txt
025 | type=text  | page=5 | chars=1800 | file=text_025_page_5.txt
026 | type=text  | page=5 | chars=1343 | file=text_026_page_5.txt
027 | type=text  | page=6 | chars=1800 | file=text_027_page_6.txt
028 | type=text  | page=6 | chars=1800 | file=text_028_page_6.txt
029 | type=text  | page=6 | chars=1672 | file=text_029_page_6.txt
030 | type=text  | page=7 | chars=1800 | file=text_030_page_7.txt
031 | type=text  | page=7 | chars=1800 | file=text_031_page_7.txt
032 | type=text  | page=7 | chars=1505 | file=text_032_page_7.txt
033 | type=text  | page=8 | chars=1800 | file=text_033_page_8.txt
034 | type=text  | page=8 | chars=400 | file=text_034_page_8.txt
035 | type=text  | page=9 | chars=1800 | file=text_035_page_9.txt
036 | type=text  | page=9 | chars=450 | file=text_036_page_9.txt
037 | type=text  | page=10 | chars=813 | file=text_037_page_10.txt
038 | type=text  | page=11 | chars=468 | file=text_038_page_11.txt
039 | type=text  | page=12 | chars=1800 | file=text_039_page_12.txt
040 | type=text  | page=12 | chars=1800 | file=text_040_page_12.txt
041 | type=text  | page=12 | chars=1222 | file=text_041_page_12.txt
042 | type=text  | page=13 | chars=1800 | file=text_042_page_13.txt
043 | type=text  | page=13 | chars=1800 | file=text_043_page_13.txt
044 | type=text  | page=13 | chars=1728 | file=text_044_page_13.txt
045 | type=text  | page=14 | chars=1800 | file=text_045_page_14.txt
046 | type=text  | page=14 | chars=1800 | file=text_046_page_14.txt
047 | type=text  | page=14 | chars=1263 | file=text_047_page_14.txt
048 | type=text  | page=15 | chars=1800 | file=text_048_page_15.txt
049 | type=text  | page=15 | chars=1800 | file=text_049_page_15.txt
050 | type=text  | page=15 | chars=787 | file=text_050_page_15.txt
051 | type=text  | page=16 | chars=1800 | file=text_051_page_16.txt
052 | type=text  | page=16 | chars=1800 | file=text_052_page_16.txt
053 | type=text  | page=16 | chars=1468 | file=text_053_page_16.txt
054 | type=text  | page=17 | chars=1800 | file=text_054_page_17.txt
055 | type=text  | page=17 | chars=1800 | file=text_055_page_17.txt
056 | type=text  | page=17 | chars=1622 | file=text_056_page_17.txt
057 | type=text  | page=18 | chars=1800 | file=text_057_page_18.txt
058 | type=text  | page=18 | chars=1800 | file=text_058_page_18.txt
059 | type=text  | page=18 | chars=802 | file=text_059_page_18.txt
060 | type=text  | page=19 | chars=1800 | file=text_060_page_19.txt
061 | type=text  | page=19 | chars=1800 | file=text_061_page_19.txt
062 | type=text  | page=19 | chars=1800 | file=text_062_page_19.txt
063 | type=text  | page=19 | chars=546 | file=text_063_page_19.txt
064 | type=text  | page=20 | chars=1800 | file=text_064_page_20.txt
065 | type=text  | page=20 | chars=1800 | file=text_065_page_20.txt
066 | type=text  | page=20 | chars=1800 | file=text_066_page_20.txt
067 | type=text  | page=20 | chars=220 | file=text_067_page_20.txt
068 | type=text  | page=21 | chars=1800 | file=text_068_page_21.txt
069 | type=text  | page=21 | chars=1800 | file=text_069_page_21.txt
070 | type=text  | page=21 | chars=981 | file=text_070_page_21.txt
071 | type=text  | page=22 | chars=1800 | file=text_071_page_22.txt
072 | type=text  | page=22 | chars=1800 | file=text_072_page_22.txt
073 | type=text  | page=22 | chars=1181 | file=text_073_page_22.txt
074 | type=text  | page=23 | chars=1800 | file=text_074_page_23.txt
075 | type=text  | page=23 | chars=1800 | file=text_075_page_23.txt
076 | type=text  | page=23 | chars=1450 | file=text_076_page_23.txt
077 | type=text  | page=24 | chars=1800 | file=text_077_page_24.txt
078 | type=text  | page=24 | chars=1800 | file=text_078_page_24.txt
079 | type=text  | page=24 | chars=1800 | file=text_079_page_24.txt
080 | type=text  | page=24 | chars=387 | file=text_080_page_24.txt
081 | type=text  | page=25 | chars=1800 | file=text_081_page_25.txt
082 | type=text  | page=25 | chars=1800 | file=text_082_page_25.txt
083 | type=text  | page=25 | chars=1215 | file=text_083_page_25.txt
084 | type=text  | page=26 | chars=1800 | file=text_084_page_26.txt
085 | type=text  | page=26 | chars=1660 | file=text_085_page_26.txt
086 | type=text  | page=27 | chars=1800 | file=text_086_page_27.txt
087 | type=text  | page=27 | chars=741 | file=text_087_page_27.txt
088 | type=text  | page=28 | chars=1800 | file=text_088_page_28.txt
089 | type=text  | page=28 | chars=1800 | file=text_089_page_28.txt
090 | type=text  | page=28 | chars=731 | file=text_090_page_28.txt
091 | type=text  | page=29 | chars=1800 | file=text_091_page_29.txt
092 | type=text  | page=29 | chars=1800 | file=text_092_page_29.txt
093 | type=text  | page=29 | chars=1800 | file=text_093_page_29.txt
094 | type=text  | page=29 | chars=316 | file=text_094_page_29.txt
095 | type=text  | page=30 | chars=1800 | file=text_095_page_30.txt
096 | type=text  | page=30 | chars=667 | file=text_096_page_30.txt
097 | type=text  | page=31 | chars=1800 | file=text_097_page_31.txt
098 | type=text  | page=31 | chars=423 | file=text_098_page_31.txt
099 | type=text  | page=32 | chars=1800 | file=text_099_page_32.txt
100 | type=text  | page=32 | chars=616 | file=text_100_page_32.txt
101 | type=text  | page=33 | chars=1800 | file=text_101_page_33.txt
102 | type=text  | page=33 | chars=935 | file=text_102_page_33.txt
103 | type=text  | page=34 | chars=1800 | file=text_103_page_34.txt
104 | type=text  | page=34 | chars=364 | file=text_104_page_34.txt
105 | type=text  | page=35 | chars=1800 | file=text_105_page_35.txt
106 | type=text  | page=35 | chars=1401 | file=text_106_page_35.txt
107 | type=text  | page=36 | chars=1800 | file=text_107_page_36.txt
108 | type=text  | page=36 | chars=263 | file=text_108_page_36.txt
109 | type=text  | page=37 | chars=1800 | file=text_109_page_37.txt
110 | type=text  | page=37 | chars=895 | file=text_110_page_37.txt
111 | type=text  | page=38 | chars=1800 | file=text_111_page_38.txt
112 | type=text  | page=38 | chars=1800 | file=text_112_page_38.txt
113 | type=text  | page=38 | chars=247 | file=text_113_page_38.txt
114 | type=text  | page=39 | chars=1800 | file=text_114_page_39.txt
115 | type=text  | page=39 | chars=863 | file=text_115_page_39.txt
116 | type=text  | page=40 | chars=1800 | file=text_116_page_40.txt
117 | type=text  | page=40 | chars=1800 | file=text_117_page_40.txt
118 | type=text  | page=40 | chars=1236 | file=text_118_page_40.txt
119 | type=text  | page=41 | chars=1624 | file=text_119_page_41.txt
120 | type=text  | page=42 | chars=1800 | file=text_120_page_42.txt
121 | type=text  | page=42 | chars=1800 | file=text_121_page_42.txt
122 | type=text  | page=42 | chars=1723 | file=text_122_page_42.txt
123 | type=text  | page=43 | chars=1800 | file=text_123_page_43.txt
124 | type=text  | page=43 | chars=1800 | file=text_124_page_43.txt
125 | type=text  | page=43 | chars=1800 | file=text_125_page_43.txt
126 | type=text  | page=43 | chars=345 | file=text_126_page_43.txt
127 | type=text  | page=44 | chars=1800 | file=text_127_page_44.txt
128 | type=text  | page=44 | chars=1800 | file=text_128_page_44.txt
129 | type=text  | page=44 | chars=353 | file=text_129_page_44.txt
130 | type=text  | page=45 | chars=1800 | file=text_130_page_45.txt
131 | type=text  | page=45 | chars=314 | file=text_131_page_45.txt
132 | type=text  | page=46 | chars=1800 | file=text_132_page_46.txt
133 | type=text  | page=46 | chars=311 | file=text_133_page_46.txt
134 | type=text  | page=47 | chars=46 | file=text_134_page_47.txt
135 | type=text  | page=48 | chars=881 | file=text_135_page_48.txt
136 | type=text  | page=49 | chars=31 | file=text_136_page_49.txt
137 | type=text  | page=50 | chars=457 | file=text_137_page_50.txt
138 | type=text  | page=51 | chars=17 | file=text_138_page_51.txt
139 | type=text  | page=52 | chars=1170 | file=text_139_page_52.txt
140 | type=text  | page=53 | chars=512 | file=text_140_page_53.txt
141 | type=text  | page=54 | chars=24 | file=text_141_page_54.txt
142 | type=text  | page=55 | chars=1459 | file=text_142_page_55.txt
143 | type=text  | page=56 | chars=503 | file=text_143_page_56.txt
144 | type=text  | page=57 | chars=1104 | file=text_144_page_57.txt
145 | type=text  | page=58 | chars=1800 | file=text_145_page_58.txt
146 | type=text  | page=58 | chars=1800 | file=text_146_page_58.txt
147 | type=text  | page=58 | chars=556 | file=text_147_page_58.txt
148 | type=text  | page=59 | chars=1800 | file=text_148_page_59.txt
149 | type=text  | page=59 | chars=1800 | file=text_149_page_59.txt
150 | type=text  | page=59 | chars=1800 | file=text_150_page_59.txt
151 | type=text  | page=59 | chars=395 | file=text_151_page_59.txt
152 | type=text  | page=60 | chars=1800 | file=text_152_page_60.txt
153 | type=text  | page=60 | chars=1800 | file=text_153_page_60.txt
154 | type=text  | page=60 | chars=428 | file=text_154_page_60.txt
155 | type=text  | page=61 | chars=1800 | file=text_155_page_61.txt
156 | type=text  | page=61 | chars=653 | file=text_156_page_61.txt
157 | type=text  | page=62 | chars=1800 | file=text_157_page_62.txt
158 | type=text  | page=62 | chars=1800 | file=text_158_page_62.txt
159 | type=text  | page=62 | chars=1203 | file=text_159_page_62.txt
160 | type=text  | page=63 | chars=1800 | file=text_160_page_63.txt
161 | type=text  | page=63 | chars=1800 | file=text_161_page_63.txt
162 | type=text  | page=63 | chars=1612 | file=text_162_page_63.txt
163 | type=text  | page=64 | chars=1800 | file=text_163_page_64.txt
164 | type=text  | page=64 | chars=1800 | file=text_164_page_64.txt
165 | type=text  | page=64 | chars=1752 | file=text_165_page_64.txt
166 | type=text  | page=65 | chars=1782 | file=text_166_page_65.txt
167 | type=text  | page=66 | chars=943 | file=text_167_page_66.txt
168 | type=text  | page=67 | chars=238 | file=text_168_page_67.txt
169 | type=text  | page=68 | chars=1332 | file=text_169_page_68.txt
170 | type=text  | page=69 | chars=1689 | file=text_170_page_69.txt
171 | type=text  | page=70 | chars=240 | file=text_171_page_70.txt
172 | type=text  | page=71 | chars=1305 | file=text_172_page_71.txt
173 | type=text  | page=72 | chars=1800 | file=text_173_page_72.txt
174 | type=text  | page=72 | chars=1114 | file=text_174_page_72.txt
175 | type=text  | page=73 | chars=1001 | file=text_175_page_73.txt
176 | type=text  | page=74 | chars=669 | file=text_176_page_74.txt
177 | type=text  | page=75 | chars=1145 | file=text_177_page_75.txt
178 | type=text  | page=76 | chars=1004 | file=text_178_page_76.txt
179 | type=text  | page=77 | chars=511 | file=text_179_page_77.txt
180 | type=text  | page=78 | chars=1447 | file=text_180_page_78.txt
181 | type=text  | page=79 | chars=1654 | file=text_181_page_79.txt
182 | type=text  | page=80 | chars=1734 | file=text_182_page_80.txt
183 | type=text  | page=81 | chars=1635 | file=text_183_page_81.txt
184 | type=text  | page=82 | chars=1301 | file=text_184_page_82.txt
185 | type=text  | page=83 | chars=247 | file=text_185_page_83.txt
186 | type=text  | page=84 | chars=1800 | file=text_186_page_84.txt
187 | type=text  | page=84 | chars=329 | file=text_187_page_84.txt
188 | type=text  | page=85 | chars=238 | file=text_188_page_85.txt
189 | type=text  | page=86 | chars=944 | file=text_189_page_86.txt
190 | type=text  | page=87 | chars=1800 | file=text_190_page_87.txt
191 | type=text  | page=87 | chars=1800 | file=text_191_page_87.txt
192 | type=text  | page=87 | chars=1041 | file=text_192_page_87.txt
193 | type=text  | page=88 | chars=148 | file=text_193_page_88.txt
194 | type=text  | page=89 | chars=84 | file=text_194_page_89.txt
195 | type=text  | page=90 | chars=1060 | file=text_195_page_90.txt
196 | type=text  | page=91 | chars=1800 | file=text_196_page_91.txt
197 | type=text  | page=91 | chars=1070 | file=text_197_page_91.txt
198 | type=text  | page=92 | chars=1800 | file=text_198_page_92.txt
199 | type=text  | page=92 | chars=653 | file=text_199_page_92.txt
200 | type=text  | page=93 | chars=1258 | file=text_200_page_93.txt
201 | type=text  | page=94 | chars=312 | file=text_201_page_94.txt
202 | type=text  | page=95 | chars=572 | file=text_202_page_95.txt
203 | type=text  | page=96 | chars=754 | file=text_203_page_96.txt
204 | type=text  | page=97 | chars=1800 | file=text_204_page_97.txt
205 | type=text  | page=97 | chars=1392 | file=text_205_page_97.txt
206 | type=text  | page=98 | chars=1800 | file=text_206_page_98.txt
207 | type=text  | page=98 | chars=462 | file=text_207_page_98.txt
208 | type=text  | page=99 | chars=1514 | file=text_208_page_99.txt
209 | type=text  | page=100 | chars=814 | file=text_209_page_100.txt
210 | type=text  | page=101 | chars=165 | file=text_210_page_101.txt
211 | type=text  | page=102 | chars=1378 | file=text_211_page_102.txt
212 | type=text  | page=103 | chars=1416 | file=text_212_page_103.txt
213 | type=text  | page=104 | chars=1746 | file=text_213_page_104.txt
214 | type=text  | page=105 | chars=1800 | file=text_214_page_105.txt
215 | type=text  | page=105 | chars=1527 | file=text_215_page_105.txt
216 | type=text  | page=106 | chars=1800 | file=text_216_page_106.txt
217 | type=text  | page=106 | chars=689 | file=text_217_page_106.txt
