0,1,2,3,4,5,6
"Year Ended June 30,",,2023,,2022,,2021
Revenue:,,,,,,
Product,$,"64,699",,"$   72,732",,"$   71,074"
Service and other,,"147,216",,"125,538",,"97,014"
Total revenue,,"211,915",,"198,270",,"168,088"
Cost of revenue:,,,,,,
Product,,"17,804",,"19,064",,"18,219"
Service and other,,"48,059",,"43,586",,"34,013"
Total cost of revenue,,"65,863",,"62,650",,"52,232"
Gross margin,,"146,052",,"135,620",,"115,856"
Research and development,,"27,195",,"24,512",,"20,716"
Sales and marketing,,"22,759",,"21,825",,"20,117"
