0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Investment Components,,,,,,,,,,,,,,
The components of investments were as follows:,,,,,,,,,,,,,,
,Fair Value,,Adjusted,,Unrealized,Unrealized,,Recorded,,Cash and Cash,,Short-term Investment,,Equity Investment
(In millions),Level,,Cost Basis,,Gains,Losses,,Basis,,Equivalents,,s,,s
"June 30, 2023",,,,,,,,,,,,,,
Changes in Fair Value Recorded in Other Comprehensive Income,,,,,,,,,,,,,,
Commercial paper,Level 2,$,"16,589",$,0,$ 0,$,"16,589",$,"12,231",$,"4,358",$,0
Certificates of deposit,Level 2,,"2,701",,0,0,,"2,701",,"2,657",,44,,0
U.S. government securities,Level 1,,"65,237",,2,"(3,870 )",,"61,369",,"2,991",,"58,378",,0
U.S. agency securities,Level 2,,"2,703",,0,0,,"2,703",,894,,"1,809",,0
Foreign government bonds,Level 2,,498,,1,(24 ),,475,,0,,475,,0
Mortgage- and asset-backed securities,Level 2,,824,,1,(39 ),,786,,0,,786,,0
