0,1,2,3,4,5,6,7
The components of debt were as follows:,,,,,,,
"(In millions, issuance by calendar",Maturities,Stated Interest,Effective Interest,,"June 30,",,"June 30,"
year),(calendar year),Rate,Rate,,2023,,2022
2009 issuance of $3.8 billion,2039,5.20%,5.24%,$,520,$,520
2010 issuance of $4.8 billion,2040,4.50%,4.57%,,486,,486
2011 issuance of $2.3 billion,2041,5.30%,5.36%,,718,,718
2012 issuance of $2.3 billion,2042,3.50%,3.57%,,454,,"1,204"
2013 issuance of $5.2 billion,2023–2043,3.63%–4.88%,3.73%–4.92%,,"1,814",,"2,814"
2013 issuance of €4.1 billion,2028–2033,2.63%–3.13%,2.69%–3.22%,,"2,509",,"2,404"
2015 issuance of $23.8 billion,2025–2055,2.70%–4.75%,2.77%–4.78%,,"9,805",,"10,805"
2016 issuance of $19.8 billion,2023–2056,2.00%–3.95%,2.10%–4.03%,,"9,430",,"9,430"
2017 issuance of $17.0 billion,2024–2057,2.88%–4.50%,3.04%–4.53%,,"8,945",,"8,945"
